NAME,HL,HH,SL,SH,VL,VH
red1,0,10,175,255,100,255
orange,10,20,175,255,100,255
yellow,25,35,175,255,100,255
green,40,70,175,255,100,255
light_blue,85,95,175,255,100,255
blue,105,130,175,255,100,255
purple,145,155,175,255,100,255
red2,175,180,175,255,100,255
white,50,70,0,4,250,255
black,0,1,0,1,0,1
gray,10,100,0,20,100,200
